team,league
Real Madrid,La Liga
Barcelona,La Liga
Atlético Madrid,La Liga
Sevilla,La Liga
Villarreal,La Liga
Real Sociedad,La Liga
Granada,La Liga
Getafe,La Liga
Valencia,La Liga
Osasuna,La Liga
Athletic Club,La Liga
Levante,La Liga
Real Valladolid,La Liga
Eibar,La Liga
Real Betis,La Liga
Deportivo Alavés,La Liga
Celta de Vigo,La Liga
Leganés,La Liga
Mallorca,La Liga
Espanyol,La Liga
Arsenal,Premier League
Liverpool,Premier League
Manchester City,Premier League
Manchester United,Premier League
Chelsea,Premier League
Leicester City,Premier League
Tottenham Hotspur,Premier League
Wolverhampton Wanderers,Premier League
Sheffield United,Premier League
Burnley,Premier League
Southampton,Premier League
Everton,Premier League
Newcastle United,Premier League
Crystal Palace,Premier League
Brighton and Hove Albion,Premier League
West Ham United,Premier League
Aston Villa,Premier League
Bournemouth,Premier League
Watford,Premier League
Norwich City,Premier League
Juventus,Serie A
Internazionale,Serie A
Atalanta,Serie A
Lazio,Serie A
Roma,Serie A
Milan,Serie A
Napoli,Serie A
Sassuolo,Serie A
Fiorentina,Serie A
Hellas Verona,Serie A
Bologna,Serie A
Udinese,Serie A
Cagliari,Serie A
Sampdoria,Serie A
Torino,Serie A
Genoa,Serie A
Lecce,Serie A
Brescia,Serie A
SPAL,Serie A
Bayern München,Bundesliga
Borussia Dortmund,Bundesliga
RB Leipzig,Bundesliga
Borussia M'gladbach,Bundesliga
Bayer Leverkusen,Bundesliga
Hoffenheim,Bundesliga
Wolfsburg,Bundesliga
Freiburg,Bundesliga
Eintracht Frankfurt,Bundesliga
Hertha BSC,Bundesliga
Union Berlin,Bundesliga
Schalke 04,Bundesliga
Mainz 05,Bundesliga
Köln,Bundesliga
Augsburg,Bundesliga
Werder Bremen,Bundesliga
Fortuna Düsseldorf,Bundesliga
Paderborn,Bundesliga
PSG,Ligue 1
Olympique Marseille,Ligue 1
Rennes,Ligue 1
Lille,Ligue 1
Nice,Ligue 1
Reims,Ligue 1
Olympique Lyonnais,Ligue 1
Montpellier,Ligue 1
Monaco,Ligue 1
Strasbourg,Ligue 1
Angers SCO,Ligue 1
Bordeaux,Ligue 1
Nantes,Ligue 1
Brest,Ligue 1
Metz,Ligue 1
Dijon,Ligue 1
Saint-Étienne,Ligue 1
Nîmes,Ligue 1
Amiens SC,Ligue 1
Toulouse,Ligue 1